image_embedding,caption_embedding
"[-0.41438430391390774, 4.050686085045092, 0.01958677924542671, 0.8045384392220495, -2.238673697393182, -2.855980044175365, 1.6321416347593867, -0.568107564980968, -0.4776575218101412, -0.840211569005854, -0.5354533239268102, -0.34087955243969725, 1.1279547968408865, 0.06063209569174909, -0.6160781841839077, -0.9534481256540182, -0.52097317005574, -0.01732777389959418, 0.72178802997936, -0.38117809528736807, 0.15151777373964764, 0.2261815688003413, 0.05702996468192382, 0.5430020910834966, -1.0042308179467843, -0.31279376428781486, 0.42195861803001955, 0.25046413232876047, 0.3054467958578215, 0.5045496125892983, 0.06926836460855262, 0.09056169301465809, 0.7045032226494738, -0.5782259295854122, -0.21192839799561378, 0.44105758586881616, 0.659339989900757, 0.40107082641514274, -0.16577544800980926, 0.4956414247713593, -0.3351585731169178, 0.05454423555167609, 0.5262500711545357, 0.22595571920101748, 0.09698580784807527, -0.5640145328532853, -0.3723561056945258, -0.4753996089288792, 0.6464670876433818, -0.2946242379413034]","[-0.26828768114080864, -0.1462365153870506, 1.7350139054302136, -0.13419671791482457, -0.3875532896569021, 0.12432020556757928, 0.2555745253414943, 0.44716526269789636, 0.28913022466546767, 0.028267837186991326, 0.16140818458141026, -0.7782310419677623, -0.23695939529479923, -0.7215351319931558, -1.1553705668613217, -1.4032028664765814, -0.22361535090922421, 0.1898699028590559, -0.2834293738406967, 0.03410602649875433, -0.5835180191337709, 0.9863804750715288, 0.4256040425134855, 0.3503247075635456, -0.1219890837214702, 0.777202277594258, -0.4132075574064957, 0.14540497497898586, 0.2137320067896341, -0.6447501315091418, -0.14840800742852808, 0.6151476211350192, -0.5512517209623878, -0.146213250564001, 0.10673360348264296, 0.3000905811219486, 0.5609304765002965, 0.5085518134961768, 0.317897932364836, -0.4516814738692281, 0.15017541214218688, 0.1930099032395648, 0.28871647891008767, -0.271038080353996, 0.20839899380096186, 0.35623522878114, -0.7708432776051929, 0.01913827942829871, -0.03891078410207404, 0.08506636569891016]"
"[-0.5490899812922349, -0.6230880295551033, -1.93031124073663, -0.4151937137190085, 0.9747871093494272, 1.0950840984422314, 1.8593532075288337, -0.8073134682205075, 1.2134590181325833, -0.7333605917625857, -0.6579419341486588, -2.2292092408876214, 0.3893717530868115, 1.786314664827627, 0.1708111609537472, -1.4037500761899628, -0.13409702077885308, 0.13610572705756516, -0.6442062882469665, 1.7417889542776321, 0.6190574412541071, 0.13487682471787701, 1.2471160351132442, 0.41678534295565567, 0.10330607789598695, 0.008248426981147252, 0.14290348773877729, 1.5526123803148324, 0.537045589393529, -1.0279972571825673, 0.640692452740927, -0.13351750574812912, -0.4454913284658877, 0.7695880306407544, 0.506050549426056, -0.09456163721738788, -0.011419285759719969, -0.024762809019301536, 0.10548981055411363, -0.0804466292289696, 0.8601826373894195, -0.09023161518259332, 0.4822429704762048, -0.6089156156190546, -0.5907176409797161, -0.12872709257661233, 0.34676219592105334, -0.16405895953500232, 0.14289577371618004, -0.39135134015948053]","[3.6310711241338636, 1.2541061913427722, -0.9506166818119418, -0.25960979772360887, 1.064989792758798, -1.7677681680814294, 0.01052007144774272, 0.13415912958296614, -0.08486184554898621, 0.28126891258972997, 0.52843678799724, 0.6472006576318107, -0.055236632370555885, -0.49893024253127893, -0.3671665538918147, 0.01818893146934322, 0.2779016187665382, 0.21257520681452982, 0.2031501555876204, 0.057162793760658345, -0.1892623049139759, -0.42132077593936745, -0.17887447736840537, -0.3781903032875985, 0.006460925833430912, 0.3291685287424809, 0.20727550170371217, -0.1602887716793105, 0.005159045113579705, -0.07617668884178593, -0.3404522094765493, 0.025494191713428965, -0.06352759482177302, -0.18991385425427662, -0.512195929793084, 0.2993448008385415, 0.23872194560513185, -0.2623903335033278, 0.018141458615455908, 6.895854769013009e-05, 0.04344635484274012, -0.3182832130952316, 0.1085672970570747, -0.31954799668357, 0.04273495288194131, 0.007619493815775659, -0.34272375140076183, -0.23692747937607703, -0.12196090184799879, 0.1308650218845841]"
"[3.1276232770781487, -0.2679238742768684, -1.4550349124952673, -0.8815010100102342, 0.5848244344851311, -1.9472509434641048, 0.6426230826095725, 0.5936666597356638, 1.4152945226945615, -0.44656202658304256, 0.6170138508213034, 1.0352725830741902, -1.274455801298924, -0.47175317746359946, -0.8572664000710298, 1.1681225577190573, -1.0975008735209077, 0.5713697788306216, -0.015034215841589139, 0.06235829713221984, 0.15664683049549208, 1.9400715807576112, 0.22367976456209868, 0.6030444721378615, 0.7597981265855267, -0.11446146348242009, -0.9252739774794716, -0.38396519681157376, 0.3942518203746394, -0.7102226192386037, 0.7537341552256039, -0.1732661233650577, 0.18953059512025647, 0.5391400335486647, -0.8453544914704951, 0.12109914451687974, -1.2625317573130583, -0.04147282612826433, -0.68213827885114, 0.01781773001058448, 0.14299613921670992, -0.006267506626893784, 0.15464686523567595, -0.019247488650371052, 0.7304525964417035, 0.3155653141895007, -0.0561153534616478, -0.14352797904918946, -0.16593494917342416, -0.24501414796562546]","[0.394952263246696, 1.098577942350988, -1.4692236895472794, -0.3842572443857718, 1.59659325897315, -0.7748337037073206, -0.5894421451320397, 0.7069190008539654, 0.20562430266704324, 0.5184650787240132, -0.2099365685623516, -0.17226744882845205, 0.9153929554370067, -0.3891695352904169, 0.028049596844891812, -0.39072497519543326, -0.2093868295470198, 0.09349207180931693, -1.3821420133162463, -0.042959777641412164, 0.8663395700275702, -1.305279606968455, -0.24916273118618623, -0.2762208246053261, -0.12991459892379925, -0.5142020286466309, -0.4507305365547256, 0.3264775164421501, 0.039607915498477836, -0.16607979303762843, 0.5454617994748029, 0.4308490086162864, 0.21802089024294746, -0.20380769513266847, 1.0013226721618196, 0.26220859003179753, 0.5659930928984215, -0.2095995024165413, -0.246851903049159, 0.4979990044906283, -0.09167512139146611, 0.006764412341745622, 0.048200437637482677, -0.5968401628448434, -0.2636287274617475, 0.40373827012196395, 0.05097306757287805, 0.24880889495657124, 0.3285030119625905, -0.7690850727902517]"
"[1.921512428533581, -0.023210096657526973, 1.023360145072166, -0.28718287819934946, -0.43801466619470975, 2.62660440283273, -0.3903939051193191, -1.462222100907471, 0.7189039172629059, 1.2143101012766537, 1.1981020711621582, -0.18495357863617387, 1.915778643650714, -0.844649398698887, 0.9484204397038447, 0.8897522608871745, 1.122315619697428, -0.030041584360369585, 0.7984698176414787, 0.9339150345428737, -1.3573618220908321, 1.0979336510692335, -1.1660562400442602, -0.8898858022185325, -0.31448319178910766, -0.6387272924699574, -0.06389844101868226, 0.09908085551267891, 0.7392373668491039, 0.7256985858692219, 0.7594632072983993, 0.04174548972962567, -0.09320332673385297, 0.046864134717287946, 0.14215216273429512, -0.23116828722811503, 0.47066357115703866, 0.1048795782377828, 0.3028540425837244, -0.10634078854587801, 0.6011070313073993, 0.4303124030620329, -0.2781976746738145, -0.2666812975249985, 0.4318948968313511, -0.40347786821163717, 0.1328122655325758, 0.5803542530084747, -0.12934882962880465, 0.6763916771129659]","[2.5105884199183497, 2.7836976053000773, -1.335539505208524, -1.1178536143676632, 0.43303822758050026, -0.6295202517093045, -0.02610212523028083, -0.031229075204799846, -0.4120063857690601, 0.27763912530726276, 0.09123640511101325, -0.787629918204923, 0.09030389597397401, 0.9365879990014877, 0.10615076959755518, 0.14185948679167312, -0.8646315971138951, -0.461069601147494, 0.04271570040305575, 0.0754302977652537, -0.10906132874434614, 0.743728573816734, -0.0658284688064311, -0.2168658122987739, 0.3180619678740131, -0.3426387664595736, 0.08271581175248272, 0.4591614769100374, 0.22517653613173608, -0.25274756839571944, 0.2611427012301644, -0.31624064119153567, 0.15329213155243415, 0.010366011519802286, 0.27604454497616426, 0.06901064868404776, -0.25585379895444654, 0.31466595185292157, -0.11083348973484868, 0.15653365689848955, -0.07310625884378293, 0.2633031483809123, 0.02388220075864219, 0.3228352037681642, -0.36636773564844954, -0.12812611292107884, -0.3492858860707184, -0.24136585073095473, 0.3135570486275911, -0.1209656779368029]"
"[1.4625698858081413, -0.531958536655996, 1.7300174823588041, 0.0011770405178603235, -1.945770890561817, 1.4368378383042815, 0.902642719929865, -2.4120804264994398, 0.7984220834031521, 0.8138744974356104, -0.02799355950590439, -0.0065273245908635475, 0.3284639436604329, -1.082074617623934, -0.5012271050585531, 1.2540534722186119, 0.6457151347513913, -0.5904030540227045, -0.2760903351789113, 0.11652935053158683, -0.9008358113779537, -0.3348074096327387, -1.253051302634239, -0.44498100794011647, -0.10085223135980785, 0.5817487233338353, -0.30658191265055496, 0.4073219208553685, 0.5837781649294723, -1.1449550831516033, 0.8297441486499855, -0.017563433320740094, 0.9412072492515328, 0.3066266155918973, 0.7846492961965844, 0.2525355829504389, -0.7773276525383428, 0.20641081304569198, 0.6825135257315409, -0.08029961357088584, -0.41496928599473965, 1.1129238084765773, -0.6071427380353259, -0.43216313513970933, -0.6706523529965291, 0.09157746482906337, -0.4738023683122799, -0.6350227471347352, -0.009297082350337096, -0.5806404095635245]","[1.9793134953424871, -0.0435343138886214, -0.061764832805197234, -1.336414429771604, 0.6439938459360708, -1.3642880069144756, -0.2845158683857856, -1.0199213799491087, -0.1517591743947755, 0.5538727972192252, 0.47798337970018273, 0.05118854688791737, 0.12231153371775035, 0.0648709593835748, 0.3521803352520779, 0.0697478192429892, 0.1564437620619115, 0.13779748688642746, -0.13413158024844773, -0.4579248707780643, -0.4659056505424736, -0.655048638981823, -0.7875558517853335, -0.5338525323515284, -0.2439585969869238, -0.4992248407833504, 0.20817073588224932, 0.27486006946178626, 0.2588371212842133, 0.26848095724485194, -0.12209699590831605, -0.17335946280198958, 0.15620751900884933, -0.5168132992636444, 0.7997151352190162, -0.47379303139282286, -0.6037152598322773, -0.28334292551827694, -0.17380093238617364, -0.2517233517055906, 0.08896342011601627, -0.3249804551764664, -0.1808107611610441, -0.1467015065992513, 0.03752268646160798, 0.6325885331307809, 0.6762016478423567, 0.28734689190962914, -0.013731154981899245, -0.575638193000905]"
"[2.918527800814299, -0.3332296402771504, 1.674935502841588, 0.28535456672830334, -2.4808435509709983, 0.0016674401029093168, 0.6326572655024585, -2.324854627573478, 0.8139633459776591, 1.1052534799120362, -0.34743791148750486, -1.237656705789357, -0.47289881629457153, 0.9299521018931733, 0.953477969411265, 0.4591834060728222, -0.353514135005312, -0.3301963224378883, 1.6061828344823987, -0.1458860282809098, 0.3193643694342484, 0.3946277374219908, 2.0272948733681617, 0.16038620329134606, 0.8377970947111703, -0.09205867357461499, -0.5607253604508211, -0.2216844762406278, -0.16519221032574946, 0.6556006078761009, -0.137575513291493, -0.323198031465809, 0.361315899861617, 0.4784709580456115, 0.07937697756925892, 0.3146964434816689, 0.35947584505332314, 0.1873647636639301, 0.8927386542590475, -0.25084867187701354, -0.39638095106100185, 0.6054843274288004, -0.2053259630884258, -0.3984340145522868, -0.18210949618263178, 0.2521345681087136, 0.037886027068203175, 0.2437714891304121, 0.481244565304128, -0.01929620329694411]","[2.2060984612117442, -0.5165535712072418, 1.1717059423951786, -1.4188838018208343, -1.2641943740944133, 0.5507736469567414, 0.30450158557379486, -0.8970083799419079, 0.9101239854502196, 0.4792909950708226, -0.48240564571713646, -0.1975167226952274, -0.05871279115530066, -0.9000743939709055, -0.22395283903538044, 0.1499471503015674, 0.13334004681354597, -0.17431255338269905, -0.13825409111324177, -0.7288078119302588, -0.4427542576360644, 0.2513877657696758, 0.8384973002545871, 0.7575902485839621, -0.7033132448200206, -0.09153961340538096, 0.2484681041226418, 0.32191310629394565, -0.10546111170104504, 0.1409096632715658, 0.21023754302401176, -0.345183822432118, -0.16556648013927958, -0.5330109367341146, -0.5719677704598263, 0.07806588196738495, -0.2399033973371719, -0.10446060849228293, -0.20101462437060477, -0.14325257832022584, -0.32379595244933973, -0.788918274506404, 0.34110340873784106, -0.34242342847213636, 0.27334835888667575, 0.058779852597001914, 0.10777063902797455, -0.235200071096693, -0.09480447462942063, -0.38046311230408414]"
"[0.3171806968216477, -1.7066522852810846, -2.450357690468532, 1.7462959554922042, 1.2475359810349975, 0.9336083532594878, 1.1434571956924835, -1.9740153373163691, -0.041026706163312936, -0.4997450150548791, 1.4389905534938843, 0.7691121851797947, 0.13444188632424406, -0.5020437260936537, -0.061313717004459464, -0.46161311709646763, 1.8866564494875284, -0.7395143038855533, 0.46421396801032255, -0.15011380956584516, 0.8685847365493206, -0.4889738197756744, 0.9483288053673151, 1.5576127582090995, 0.4684280106300006, -1.7528722639477585, -0.3402110757181278, -0.43574706559282766, -0.4120022041857628, 0.6500566895915897, 0.8187366996578386, 2.2405901014655876, 0.5396350069824121, -0.20238037532795364, -0.1264520689281525, 0.29474073413154284, 0.14427015379804906, 0.37322227493073074, -1.252905438296697, -0.5441748544600845, 0.21796305254646978, -0.8003055074081636, 0.9621865658482184, 0.2829359201504504, 0.805706466320878, -0.33385424880474385, -0.008886501675764585, 0.7626510009069435, -1.469751717888726, -0.1521658571874352]","[1.5059669309691124, -2.4030414976616314, -0.6485336251161883, -0.1031812327106509, 1.0004545461021663, 0.4118433210751204, -0.32195414747531204, 0.49725339764639315, -0.23363901454249558, 0.15818523824014843, 0.5462471923706653, 0.013923756188336866, -0.619869049564654, -0.1305869508643959, -0.3332893468903662, 0.6141677784472558, -0.7720204948637119, 0.31031219889247147, 0.517386138370382, 1.0677958357687896, 1.257320449429772, -0.6927428266926523, -0.7291998049883284, -0.14563253522159592, -0.35329993863691334, 0.025392544753791043, -0.4894963050966584, -0.3137455808086161, -0.04732286382426343, 0.09327750747535331, 1.329734631456496, 0.2239684069687685, -0.43232507394857805, 0.0032014448114460127, -0.47842368741811725, 0.7693839879079355, 0.7845344033156375, 0.4319419263184446, -0.9150654569147777, -0.920747493738966, -0.34480836513889984, 0.7940130497804566, 0.20671433886932403, 0.7925232202461854, -0.40702054736311455, 0.2817941547688367, -0.44621636978168416, -0.21718931636406225, -0.6325573679947981, 0.11250500267806152]"
"[-2.0425377591401226, 1.522767833395968, 1.1016776826601924, 0.5674966922886723, 2.526863043325415, 2.115647993838481, -0.17121536878976854, 0.2815036309473467, -0.38793424708567337, -0.48371568620730065, -0.6307713085682394, -0.7374653725486272, -1.5624475388941772, -0.295880373452597, 0.892883565965804, 1.0613007487893407, 0.27176082094574017, 0.9331573948401876, 0.45398244640596375, 0.7439952671981902, -0.18461727026762542, 0.0060489690138554085, -0.3084287500311277, -0.31029262306695965, -0.5326513838172057, 0.6251095274717396, -0.39447562984566314, -0.18300623990676226, 0.12666136802682418, 0.5187238892510997, -0.02741458968175916, 0.3179985739031726, 0.6013454613215548, 0.17145165969342838, -0.19426540893000066, 0.26652816117960987, -0.3499403418442848, 0.3164155079902177, -0.4838315432609268, -0.5649132813966232, -0.575721588979532, -0.043083697135612865, -0.4610867027155275, 0.26546457932669965, 0.29959752378301646, -0.08857701091526386, -0.04007155053016204, 0.002607452444725544, 0.17831814366198576, -0.8755736364351561]","[-1.9351544363029842, 1.1882704562860322, 1.870289166055375, 0.4648309511963831, 2.671238843514286, -0.6617003927208615, -0.28583270027402374, -0.89706985090757, -0.5962041353353973, -0.9137836980248076, -0.15970986825152203, -0.037669866765295115, 0.0018324166660573466, 0.5109135742896878, -0.007560943444981301, 0.2104301988388429, 0.09987576746838536, -0.4156303203424964, 0.14000734252271693, -0.24971094179167067, -0.3493358749569614, -0.4870088238692018, 0.14384356255338115, 0.46501709561537186, -0.012074905540806589, 0.20040177562335712, -0.32131954574287935, 0.09158413276432151, -0.6289433373460596, 0.26793948151465824, 0.40654653574117333, -0.027940619882017775, 0.36572856800926445, 0.548255035541599, 0.021802235462933885, -0.26470047939841096, 0.4370537555060878, -0.5948014662626768, -0.9418942923832202, 0.1331482548706636, -0.05707019358024705, -0.12220474382044388, -0.2757209010374371, 0.46925145156830794, 0.36005851646207704, -1.0019257705223839, 0.08663132961186534, 0.0788845608984141, -0.7496481234646294, 0.05229375446979583]"
"[2.496529616465109, 0.06668304865367848, 0.8336795336431999, 0.3701168890783261, -3.1005551231286606, 0.21376841604472663, -1.5280380369654183, -0.7498247464078474, 1.7883180545851023, 1.6642152881525738, 1.451903804628857, 0.6856300711797702, -3.0858811571932483, -0.3304097565255707, 2.232934943421441, -0.7146205751709289, 0.2822646757831863, -0.47839182995187457, -1.389158908125433, -0.1984968528431444, -1.2045316354796134, 0.27512184226966374, 1.454019351199086, -0.5034040824741431, 0.6161175284157969, -0.14399140643186414, -0.1606755817409265, -0.21340824035484546, 0.1353437736086309, -0.04719801727686611, 0.9571514333046032, 0.5018009973208253, 0.33492026689220716, -0.010128314960621287, 0.299734569849223, 0.07096232422218081, -0.02492217357309651, -0.43538334091766834, 0.31963876508675293, 0.27853899759594686, -0.3934720161525492, 0.8538328507468376, 0.4660906098980096, -0.4839140580388174, 0.46730272373253684, 0.0254369638560154, 0.11194089345281481, 0.3498962323480212, 0.2410500636628737, 0.4279743555331828]","[3.077906142885967, 1.8868787236057298, 0.19453109719088657, -0.5886566209694403, -0.9676735509383625, 0.6536681594119192, 0.13052996694396263, 1.5622948939058778, -0.7115613782180491, -0.04689872586140465, -0.19052560933192195, 0.47861740901038896, -0.1219762261898132, 0.562313028087818, -0.9943665652898641, 0.866804548404257, -0.019565201838804277, -0.8063095372844323, 0.03134024219196283, 0.026590936751201753, -0.14754191707247558, -0.31301670844325824, 0.35301917934920113, -0.17713395645048327, -0.23148406402971833, 0.1521089549163073, -0.3764684338751885, 0.22972394749113384, 0.07436249174957461, 0.10231716299023279, 0.11282899067836344, -0.06751802106393316, 0.03924694488791405, -0.0291023244832439, 0.3297031675769165, 0.09073134553359465, 0.2045626227827313, -0.17638975436623341, 0.2567037189058754, -0.23871476063767566, 0.005506756057995713, 0.31456858691545453, 0.019563191529508757, 0.10120824172419236, 0.03865932276038263, -0.2115023791323454, -0.11490071120104325, 0.18080847223405044, -0.010479706021012461, -0.08079185837802773]"
"[-4.0868224593170694, 1.0020487538200311, -0.7901119709014526, 1.4946051469511166, -1.4105061310439453, -0.870721708159538, 0.43251233043177656, -0.7980095165573001, -0.2853497292186418, -0.6294136360397296, 0.8000017810986393, 0.7030736476968525, 0.23700070502472737, -0.15887628941327522, -0.07618386008284557, -0.1584890233639686, 1.0288122642842383, -1.1844201520156432, -0.43035891002039284, 0.15534291094962752, -0.8103652617305551, -1.476963687138499, 0.16117758073974886, 0.6348982240099199, 1.3423118339631839, -1.233051084286076, -0.7000853188252089, -1.0267764133043367, 0.23376462530667502, 0.05685682486401312, 0.29069168484524494, 0.11019943463201838, 0.5775094468148504, 0.5953104434560844, 0.22635776793133583, -0.15576459603257314, 0.9562717002423992, 1.177069672110645, -0.5051846488786106, 0.31152832610226555, -1.2326414917278952, -0.40542239942794106, -0.307593897192479, 0.6675674036528002, -0.035607508229375834, 0.19246648351435486, -0.8030245567805512, 0.34778689714103367, -0.32927649319882973, 0.41020477915121745]","[2.946947225090372, -2.737297708871906, 0.4645838759028183, -0.15431554182463772, -0.6646965237121739, 0.06271848065280942, -1.0120153687173747, 0.0436239702783998, -0.050744237648269866, -0.5121739929383935, 0.7592213786842577, -0.26431440353034963, -0.14398836964923603, -0.22811553429607814, -0.013477768263541728, 0.28788550432447224, -0.3290711991673653, 0.18410829920272764, 0.535161079415898, -0.4396014145658104, -0.08821020176369444, -0.6523167601384299, 0.15583532538837894, 0.0058841719099918645, -0.11458015752714965, 0.3520827998446355, 0.31164598655063885, 0.08461091329256736, -0.19329312619616068, 0.2697709747586375, 0.7280366052665571, 0.20420149838520157, 0.07950171727786622, -0.4625971202233966, -0.7124771984644316, 0.8006866043945947, 0.07394720045145459, 0.31031159730435615, -0.2672255417464023, -0.11957563021438536, -0.7601893348245318, 0.09012599697124987, 0.1035597895023827, -0.4057208807837179, -0.017766701564172063, 0.7562312000489578, -0.013726437937760195, -0.009395158677800067, -0.21901294129802504, -0.06581801439163541]"
"[-1.41838776669938, -1.567328314098137, -1.97303054694099, 1.381119293670103, -1.3883333491552237, 0.4077228611769038, -2.1089025113338407, 0.7510548053224498, -1.1547573007010534, 1.598332085934406, 0.2393743477685768, 0.31979050888573596, -1.2199918916010086, 0.9490089304609615, -1.0350448827670018, 1.6859595505311094, 1.2508762485880207, 1.035902063916699, 0.3790390550508338, 0.716712757710292, 0.12673035855274287, 0.2518427025662056, -0.43101505053624345, -1.0668821203389605, -1.5086397844393602, -0.11803890518829956, 0.900183643118524, -0.38175314286233875, 0.6675197030044643, -0.04870210627032517, 0.4304126425836801, -0.40353863936862083, 0.24262397687326814, 1.2114519436423599, -0.5924771492872695, -0.09718679082176511, 0.618805622120175, -0.17406758517771215, -0.9438582989300314, 1.4335054970929166, -1.0876325402298144, -2.636826075977151, -0.45704382594076903, -0.755076876921469, -0.8165938937112635, 1.362837710997323, 0.29953444419024244, 0.046901477483505996, -0.30164579431437777, -0.028156861510333708]","[-3.027270863283321, -0.20852344780604085, -0.8889106205686951, -1.1449644639970558, 0.10434535629046109, 0.9152612155305127, -0.49883731682195126, -0.1550184819959289, 0.7277993267414792, 1.0026803442376189, 1.0748076230824626, -0.6235628091248745, -0.30764535594519404, -0.8569311877111777, -0.28286140986669744, -0.9621774547927716, -0.6941994796944305, -0.25739863684566017, -0.3407726281598659, 0.4239366444934234, -0.19193456265709333, 0.23071690923266575, 0.5533319841016184, -0.8117932287882228, 0.3891857131320398, -0.20095399044135653, 0.5897707743863211, -0.9623270176469042, -0.016250447565715708, -0.09455527573643582, 0.48539067226568816, -1.2639540014490467, 0.17580933425138612, 0.23765700277792556, -0.7153832161473842, -1.4409592206084159, -0.5763302763099118, 0.28161539181327383, 1.191683796008552, 0.4307095460858585, -0.15811199995935493, 0.6814652072702909, -0.6568152917115004, 0.7305340078854825, 0.6035490446898786, -0.5764562910320237, -0.8246482465130682, 0.01969134117552291, 0.3391079875555656, 0.12730274186133578]"
"[0.1609780422623934, -3.1960892166048898, 0.08032605512081642, 3.549801146252594, 1.4246623627105521, -0.11657892229681906, 0.3963105056997575, -0.6810136079289093, 0.645150297381183, 2.0459459442128094, -3.013661150669877, 0.9858098840667575, 0.28137695781121774, 0.3219003250737404, 0.24659064073393558, -0.8816145967894797, -0.12646326711426953, 0.8735884163048202, -0.1736894874278871, 0.2284895950114991, -0.14528642435726727, 0.13473388468525366, 0.506852941449081, -0.1043255521176135, -0.3070827931973083, -0.323488461247426, -0.08326956248963197, 0.18872485647124138, 0.9540354583633388, 0.38275434517987533, 0.6372587608862331, -0.3155098997878142, -0.8895362503307842, -0.10648110815689919, 0.3367816752625261, -0.7544325963544213, 0.5110812126275233, 0.9373536230054745, 0.15055115233218003, 0.33243278419438044, -0.02360752968690781, 0.8689618972286146, 0.5461810878953404, 0.9871815193804973, -1.1625859146602646, -0.9792544900762646, 0.651862364416194, -0.6055303722016446, 0.17759677716973318, -0.09535225799613438]","[3.4963835602556252, -4.363147690874642, -0.15633826961180472, -0.06126570948781167, -0.26192949221153866, 0.4262276631367715, -0.7717033764793261, 0.12631571908225522, -0.15730469763487054, -0.17767182308012464, -0.04932998289082603, -0.3121208590732859, 0.4473115344040092, -0.22423749864773737, 0.6994700684747366, 0.516846988977105, 0.03887101833619226, 0.016021252597890216, -0.7301379151515441, -0.4609147586222874, -0.057959476372163025, 0.2107900300324518, 0.17121641763788684, 0.22095206814438043, 0.20082918143427128, -0.08075230353522304, -0.12189297431325095, -0.8576412087163542, -0.5167218461224061, 0.09015918935217472, -0.3130906963351533, -0.26469181865153346, -0.5515221547705627, -0.27451911904784404, 0.14649422264119807, -0.032566770004520774, -0.17902427368879145, -0.5183149236143787, -0.09390982492868238, -0.010645218023681543, 0.3208029873822347, -0.2112027021262995, -1.0032882047682878, -0.11567917807343933, -0.2463779427558397, 0.06750622392071248, 0.27052068802554013, -0.0627228085490253, -0.2906591827277549, 0.254274156824741]"
"[-0.6478098226420707, -2.1812468147522512, 2.480062585475001, -1.2386217137382238, -1.323783429042256, 0.8207929031724357, 0.06707746992754937, 0.9076291484251936, -1.7049063504521673, -0.7440282161498191, 0.35244765721600047, -0.2750474289477374, 0.5157071349233139, 1.22233517561407, 0.7087387303596481, -0.34911278425557396, -1.9827306872253232, 0.4966847830042418, -1.310531134571834, -0.5320292645030651, -0.6269618940930554, 0.40737199224561677, -0.06472260808021046, -0.28449492855535774, -0.12576816860248002, -0.12219052196960109, -0.7110852367156164, 0.34060856837652626, -0.41373404119309176, 1.2332989309276994, 0.0003722983742857633, -0.062034340266371606, -0.431981627154388, 0.2252975126342577, 0.8218480438092773, 0.22295108889765364, 0.0750067944606354, 0.1477447869963922, -1.1497703596952318, 0.9950633961443078, 0.9840859046069353, 0.15895749939782702, -0.07819511115795891, -1.1838435535495562, -0.0025307212534727186, -0.24772296642780878, -0.6607204006030671, -0.3528318986944754, -0.427600996397734, -0.8630188438512882]","[-2.6374523275367796, -0.5961606780249428, -1.6114502946753884, -0.4307748299370936, -0.39736908675902266, 0.5720869554940681, 0.6863956245213604, -0.39555416958276124, -1.8186993632926276, -0.4836750464746002, -0.9136441684681302, 0.40606653719095276, 0.1251346833606634, -0.7967076267454358, -0.3079968782518182, 0.9413287388206545, 0.13757694250405936, 2.0185316733744627, 0.7866592173686995, -1.0176107184763175, 0.26442301215141145, -0.0850322432386527, 1.0359820105506459, -0.5567565502429833, -0.45629008213026323, 1.1365588928299364, 0.06659439246301024, 0.471962133464958, -0.18130915849326748, -0.2452270829625386, 0.31804797012079383, -0.194798161593591, -0.07887017664034075, -0.24762900931505302, -0.09315101950434743, 0.0846407059830747, 0.502086981205822, 0.6133005895460274, -0.029312507018343956, -0.3147244855948161, 0.019406222426166235, 0.6660521769197418, -0.3746279475982547, 0.21743388731773805, 0.598646039452853, 0.4739292708576402, 0.8008377315501619, -0.12811653889882677, 0.038361852252392595, -0.45366708827261953]"
"[1.6669336952981595, -0.412703282313575, 3.587784778940003, 0.9354162847240027, -1.9504381578963499, 0.4749086242308086, 0.2606294818637137, -1.9955104353497832, 0.3283802907099776, 1.4649440202649706, -0.324236560733045, 0.3291491590627121, 0.8707273720857983, 0.5481347758427475, 1.55003162658684, 0.6048948737564999, 0.6205227387488853, -1.6740630552228328, 1.2386061166223754, -0.8428746883879215, -0.850696210091541, 0.40944998432580715, 0.26351890934963146, -0.40066982998204936, 0.6873275575627162, -0.47073551886563286, -0.4859916390087839, -0.06746946666924061, 0.5047184978005068, 0.5483023505918397, -0.07701932325931764, -0.9332937215810866, -0.19789784655072398, -0.1918932378831758, -0.017179140762576775, -0.28846566891875475, -0.6766162834817839, 0.26667970460811197, 0.6021916959211523, 0.4321390645042215, 0.019441525129930217, 0.18634763537790797, 0.5334550535328374, 0.1098131568571481, -0.3069907532528099, 0.2656692718223208, -0.14559776052022705, -0.19495069248253796, 0.11566617501937378, 0.3285460817292935]","[-2.4017863164006443, -1.1828138667103245, 0.0404312574450825, -0.36437861426294044, 0.025510617707746517, 0.06078079781495203, 0.9588564682342919, -0.24876598240897987, -0.5162661824001705, 1.3079117518536014, 0.183407932323092, 0.08282392591016885, 0.39217412440485366, 0.08463315809184967, -1.1655840318238533, 1.2673158814896295, -0.3550412003727068, 0.250706210887007, 0.6396444794253393, 0.22770770418040387, 0.15599247173007275, 0.07916440102978813, -0.7421813136296876, -0.493205323433027, -0.7754963381044674, 0.014174387652411831, -0.9018693982886402, -0.6821788460866367, 0.5742579846258102, 0.5620400534869368, 0.7572329368430449, 0.5622778720954743, -0.6997888820875113, -0.25528089792971137, 0.4295276035194301, 0.9403096835015511, -0.16257255924941677, 0.28982996760508395, 0.055539062105671, -0.5542157724224643, -0.22962193123742736, -1.0173593278958277, -0.10647318341880957, 0.36049576447440623, 0.1535858184676138, -0.6661576933994937, 0.5195590372738881, -0.4448394742805755, 0.4518792466106581, -0.6442403707323768]"
